Column name;;Meaning;;;
AroMex;;Thrips species;Arorathrips;mexicanus;
CerBru;;Thrips species;Ceratothripoides;brunneus;
ChaOrc;;Thrips species;Chaetanaphothrips;orchidii;
ChiSp.;;Thrips species;Chirothrips;sp.;
DenIno;;Thrips species;Dendrothripoides;innoxius;
ElaSp.;;Thrips species;Elaphothrips;sp.;
FraIns;;Thrips species;Frankliniella;insularis;
FraInt;;Thrips species;Frankliniella;intonsa;
FraOcc;;Thrips species;Frankliniella;occidentalis;
FraSc1;;Thrips species;Frankliniella;schultzei (biotype 1);
FraSc2;;Thrips species;Frankliniella;schultzei (biotype 2);
FraVes;;Thrips species;Franklinothrips;vespiformis;
GigEle;;Thrips species;Gigantothrips;elegans;
GynUze;;Thrips species;Gynaikothrips;ficorum;
HapArt;;Thrips species;Haplothrips;articulosus;
HapGow;;Thrips species;Haplothrips;gowdeyi;
HapNig;;Thrips species;Haplothrips;nigricornis;
HapSp.;;Thrips species;Haplothrips;sp.;
HelHae;;Thrips species;Heliothrips;haemorrhoidalis;
HerPat;;Thrips species;Hercinothrips;pattersoni;
LioSp.;;Thrips species;Liothrips;sp.;
MegSjo;;Thrips species;Megalurothrips;sjostedti;
MicAbd;;Thrips species;Microcephalothrips;abdominalis;
MS031.;;Thrips species;Phlaeothripinea;sp.;
MS032.;;Thrips species;Thripinae;sp;
NeoSam;;Thrips species;Neohydatothrips;samayunkur;
NesSp.;;Thrips species;Nesothrips;sp.;
SciAur;;Thrips species;Scirtothrips;aurantii;
SciSp2;;Thrips species;Scirtothrips;sp.;
ScoRha;;Thrips species;Scolothrips;rhagebianus;
ThrAus;;Thrips species;Thrips;australis;
ThrBou;;Thrips species;Thrips;bourbonensis;
ThrCan;;Thrips species;Thrips;candidus;
ThrFlo;;Thrips species;Thrips;florum;
ThrHaw;;Thrips species;Thrips;hawaiiensis;
ThrPal;;Thrips species;Thrips;palmi;
ThrPar;;Thrips species;Thrips;parvispinus;
ThrQui;;Thrips species;Thrips;quilicii;
ThrReu;;Thrips species;Thrips;reunionensis;
ThrSp2;;Thrips species;Thrips;sp.;
ThrTab;;Thrips species;Thrips;tabaci;
date;;collection date;;;
season;;season, winter vs summer;;;
transect;;transect 1 to 7;;;
site;;sampling site (different plants were sampled in the same site);;;
plant;;Sampling plantÂ : Desmodium intortum (DesInt), Dombeya ficulnea (DomFic), Hedychium gardnerianum (HedGar), Hubertia ambavilla (HubAmb), Ipomoea spp. (Ipo), Lantana camara (LanCam), Paspalum dilatatum (PasDil) and Solanum mauritianum (SolMau). Plants sampled less than 10 times (Other);;;
elevation;;in meters;;;
latitude;;in degrees;;;
longitude;;indegrees;;;
grid;;Grid associated to the different study sites used to correct for spatial autocorrelation in models;;;
meanTemperature;;in degrees;;;
rainfall;;in mm;;;
sug100;;proportion of;sugar cane;in a buffer radious of;100m
veg100;;proportion of;vegetable crops;in a buffer radious of;100m
for100;;proportion of;forest;in a buffer radious of;100m
plfor100;;proportion of;forest plantation;in a buffer radious of;100m
gra100;;proportion of;grassland;in a buffer radious of;100m
rock100;;proportion of;bare rock;in a buffer radious of;100m
sava100;;proportion of;savannah;in a buffer radious of;100m
orch100;;proportion of;orchards;in a buffer radious of;100m
urb100;;proportion of;urban habitats;in a buffer radious of;100m
sug300;;proportion of;sugar cane;in a buffer radious of;300m
veg300;;proportion of;vegetable crops;in a buffer radious of;300m
for300;;proportion of;forest;in a buffer radious of;300m
plfor300;;proportion of;forest plantation;in a buffer radious of;300m
gra300;;proportion of;grassland;in a buffer radious of;300m
rock300;;proportion of;bare rock;in a buffer radious of;300m
sava300;;proportion of;savannah;in a buffer radious of;300m
orch300;;proportion of;orchards;in a buffer radious of;300m
urb300;;proportion of;urban habitats;in a buffer radious of;300m
sug600;;proportion of;sugar cane;in a buffer radious of;600m
veg600;;proportion of;vegetable crops;in a buffer radious of;600m
for600;;proportion of;forest;in a buffer radious of;600m
plfor600;;proportion of;forest plantation;in a buffer radious of;600m
gra600;;proportion of;grassland;in a buffer radious of;600m
rock600;;proportion of;bare rock;in a buffer radious of;600m
sava600;;proportion of;savannah;in a buffer radious of;600m
orch600;;proportion of;orchards;in a buffer radious of;600m
urb600;;proportion of;urban habitats;in a buffer radious of;600m
sug1000;;proportion of;sugar cane;in a buffer radious of;1000m
veg1000;;proportion of;vegetable crops;in a buffer radious of;1000m
for1000;;proportion of;forest;in a buffer radious of;1000m
plfor1000;;proportion of;forest plantation;in a buffer radious of;1000m
gra1000;;proportion of;grassland;in a buffer radious of;1000m
rock1000;;proportion of;bare rock;in a buffer radious of;1000m
sava1000;;proportion of;savannah;in a buffer radious of;1000m
orch1000;;proportion of;orchards;in a buffer radious of;1000m
urb1000;;proportion of;urban habitats;in a buffer radious of;1000m
sug3000;;proportion of;sugar cane;in a buffer radious of;3000m
veg3000;;proportion of;vegetable crops;in a buffer radious of;3000m
for3000;;proportion of;forest;in a buffer radious of;3000m
plfor3000;;proportion of;forest plantation;in a buffer radious of;3000m
gra3000;;proportion of;grassland;in a buffer radious of;3000m
rock3000;;proportion of;bare rock;in a buffer radious of;3000m
sava3000;;proportion of;savannah;in a buffer radious of;3000m
orch3000;;proportion of;orchards;in a buffer radious of;3000m
urb3000;;proportion of;urban habitats;in a buffer radious of;3000m
fragm100;;fragmentation;in a buffer radious of;100m;
fragm300;;fragmentation;in a buffer radious of;300m;
fragm600;;fragmentation;in a buffer radious of;600m;
fragm1000;;fragmentation;in a buffer radious of;1000m;
fragm3000;;fragmentation;in a buffer radious of;3000m;
